path,category,reason
Upgrading/CustomRenderer/MauiCustomRenderer/App.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/App.xaml.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Controls/PressableView.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/MainPage.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/MainPage.xaml.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/MauiCustomRenderer.csproj,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MauiCustomRenderer/MauiCustomRenderer.sln,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MauiCustomRenderer/MauiProgram.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Android/AndroidManifest.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Android/MainActivity.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Android/MainApplication.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Android/Renderers/PressableViewRenderer.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Android/Resources/values/colors.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/MacCatalyst/AppDelegate.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/MacCatalyst/Info.plist,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/MacCatalyst/Program.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Tizen/Main.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Tizen/tizen-manifest.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Windows/App.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Windows/App.xaml.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Windows/Package.appxmanifest,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/Windows/app.manifest,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/iOS/AppDelegate.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/iOS/Info.plist,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/iOS/Program.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Platforms/iOS/Renderers/PressableViewRenderer.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Properties/launchSettings.json,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Colors.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Fonts/OpenSans-Regular.ttf,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Fonts/OpenSans-Semibold.ttf,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Images/dotnet_bot.svg,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Raw/AboutAssets.txt,resource-text,Sample resource note (e.g. AboutAssets.txt)
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/Styles.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/appicon.svg,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MauiCustomRenderer/Resources/appiconfg.svg,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/Android/Assets/AboutAssets.txt,resource-text,Sample resource note (e.g. AboutAssets.txt)
Upgrading/CustomRenderer/MultiProject/Entry/Android/CustomRenderer.Android.csproj,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MultiProject/Entry/Android/MainActivity.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/Android/MainApplication.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/Android/MauiProgram.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/Android/MyEntryRenderer.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/Android/Properties/AndroidManifest.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/AboutResources.txt,resource-text,Sample resource note (e.g. AboutAssets.txt)
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/drawable/Icon.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/layout/Main.axml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/values/Strings.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/values/colors.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/Android/Resources/values/styles.xml,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer.sln,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/App.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/CustomRenderer.csproj,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/MainPage.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/MainPageXaml.xaml,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/MainPageXaml.xaml.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/MauiProgram.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/CustomRenderer/MyEntry.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/README.md,documentation,Active sample documentation
Upgrading/CustomRenderer/MultiProject/Entry/Screenshots/01Android.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/Screenshots/01UWP.PNG,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/Screenshots/01iOS.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/Screenshots/all.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/UpgradeReport.sarif,tooling-output,.NET Upgrade Assistant output preserved as evidence
Upgrading/CustomRenderer/MultiProject/Entry/iOS/AppDelegate.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/iOS/CustomRenderer.iOS.csproj,active-build,MAUI build descriptor (built by build-all.yml/build-pr.yml)
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Entitlements.plist,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Info.plist,active-code-maui,Platform manifest or config consumed by build
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Main.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/iOS/MauiProgram.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/iOS/MyEntryRenderer.cs,active-code-maui,Active .NET MAUI source compiled by CI
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Default-568h@2x.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Default.png,resource-binary,App icon / image / font asset
Upgrading/CustomRenderer/MultiProject/Entry/iOS/Resources/Default@2x.png,resource-binary,App icon / image / font asset
